# EL METRO DEL EMISOR -- linea base (toolchain/tools/metro).
# TRINQUETE: `pasos`, `accesos` y `codigo` solo bajan; `salida` no cambia nunca.
# Se reescribe con `cargo run --release -p bmo-metro -- --fijar`.
# programa  pasos  accesos  codigo  salida
Ultra_userspace/apps/navegar/navegar.inti 2826 1108 40490 e60f459908bf3458
toolchain/lang/ada/examples/1-basico/cierre.adb 369 69 1560 ed567b986aa22dd2
toolchain/lang/c/examples/blit_C.c 57720 6438 3035 25042ff916c7a1d5
toolchain/lang/c/examples/caja_C.c 331 118 5936 c7825b639babd44d
toolchain/lang/c/examples/cubo_C.c 853 310 16181 b62cc91f2d789574
toolchain/lang/c/examples/guia_C.c 845 303 11828 63a4af2b37e89e8f
toolchain/lang/c/examples/hola_C.c 592 58 1347 5636dbeb8a18604e
toolchain/lang/c/examples/imagen_C.c 849 305 11370 93a255b1b277a3d2
toolchain/lang/c/examples/leer_C.c 657 160 5534 c29f996c7ed78bd0
toolchain/lang/c/examples/memoria_C.c 34343 6329 3756 083f502191c643b9
toolchain/lang/c/examples/musica_C.c 23346 4611 5297 d496ad39602704b5
toolchain/lang/c/examples/raycaster_C.c 960 376 14299 90aed363b3605449
toolchain/lang/c/examples/scroll_C.c 16267 2534 2660 b077773f1a24534f
toolchain/lang/c/examples/sonda_C.c 11779 964 5521 470d7a0872ab5f2f
toolchain/lang/c/examples/sonido_C.c 751 66 3331 85b9ef055c293701
toolchain/lang/c/examples/vivaldi_C.c 24759 5134 2141 d7e59bfde4882cd0
toolchain/lang/cobol/examples/1-basico/hola.cob 39 1 286 7e9187edfd16728f
toolchain/lang/cobol/examples/2-decimal/banco.cob 414 79 1453 1e680b789c31c2c8
toolchain/lang/cobol/examples/2-decimal/hola_COBOL.cob 210 66 1014 ef9264027f2e824e
toolchain/lang/cobol/examples/3-presentacion/extracto.cob 729 132 2515 7841c298ab73046e
toolchain/lang/cobol/examples/5-tablas/conceptos.cob 1226 247 2491 3aedd177137f59bd
toolchain/lang/cobol/examples/6-condiciones/cartera.cob 141 22 2313 1b33a8ff43750afa
toolchain/lang/cobol/examples/7-empaquetado/cuentas.cob 1418 170 5566 52118ba4ce5d6df4
toolchain/lang/cobol/examples/8-parrafos/cierre.cob 694 93 4305 e3a5047d373bbbde
toolchain/lang/cobol/examples/9-decision/comision.cob 3978 538 9221 b74edb36d777ee06
toolchain/lang/cpp/examples/1-clases/cuentas.cpp 599 139 1245 ee45374b921d5109
toolchain/lang/inti/ejemplos/bico.inti 644 234 15748 56b0f2120340652f
toolchain/lang/inti/ejemplos/musica.inti 428 143 22377 031a8f1d4e77e2bb
toolchain/lang/inti/sondas/pulso.inti 667750 126986 5050 9961033a811a7779
toolchain/lang/inti/sondas/ventana.inti 2183 793 16776 52f287b1b72f3aa2
